FOTOTREE NAME                                      | LATITUDE     | LONGITUDE    | LOCATION NAME
AMPI Running Fest 2025                             | -7.8486667   | 112.695244   | 
Ancol                                              | -6.119941    | 106.85008    | 
Andalas Run 2025                                   | -0.916932    | 100.4576     | 
Anggrek Jingga Kajen Run 2024                      | -7.03188     | 109.603424   | 
Angjungan Kalsel Berlari 2025                      | -6.300033    | 106.89758    | 
Angkasa Fun Run 2025                               | -7.605779    | 111.51575    | 
Anlene 10.000 Langkah 2025                         | -6.220655    | 106.80428    | 
Anlene 10k Langkah Osteowalk Surabaya series 2025  | -7.264531    | 112.74975    | 
Annifirst Run 2025                                 | -6.7282352   | 108.55278    | 
Annual GLC Run 2024                                | -6.192827    | 106.70064    | 
Antarestar Kemerdekaan Hybrid Run 2024             | -6.168035    | 106.97453    | 
Anugerah NovembeRun 2025                           | -7.3267713   | 108.35295    | 
ApotekeRUN at Sahid Jogja 2025                     | -7.7791343   | 110.41378    | 
Ar Rohmah Fun Run 2025                             | -7.7015104   | 110.59729    | 
Arah Running Festival 2025                         | -6.2977104   | 107.298965   | 
Aras Shoot Run                                     | -5.310289    | 119.74261    | 
Archilles 5K Fun Run                               | -8.659153    | 115.2426     | 
ARCTURUS FUN RUN 5K 2025                           | 0.50661373   | 120.96034    | 
Arena Dayung, Raha                                 | -4.830135    | 122.732895   | 
ART9SPORT - OPA23SPORT Galeri                      | -5.146784    | 119.51757    | 
Artotel Homeground Fun Run 2024                    | -7.6378107   | 110.43903    | 
Arung Progo Festival Run 2025                      | -7.64268     | 110.25412    | 
Arunika Fun Run 2024                               | -6.943558    | 108.44581    | 
Arunika Fun Run 2025                               | -7.720786    | 110.605995   | 
ARYADUTA Family Fun Run 2025                       | -8.734489    | 115.16332    | 
Aryaduta Family Fun Run 2026                       | -8.7341585   | 115.16368    | 
Asahan                                             | 2.8174722    | 99.63413     | 
Asahan Berlebarun 2026                             | 2.990677     | 99.61086     | 
ASC Half Marathon 2023                             | -6.246097    | 106.79173    | 
Ascent Fun Run 2025                                | -7.6363063   | 112.89595    | 
Ascott Fun Run Bandung 2025                        | -6.920773    | 107.61004    | 
Asia Afrika Bandung                                | -6.921329    | 107.60995    | 
Asimetri Berlari 2023                              | -6.498909    | 106.833786   | 
ASN Run 2024                                       | -6.213       | 106.79876    | 
ASN Runners Collaborun 2024                        | -6.229578    | 106.83245    | 
ASN Runners Collaborun Wonderful Run 2024          | -6.17983     | 106.82257    | 
Asparnas Run                                       | 1.1896446    | 104.08342    | 
Aspirasi run 2025                                  | -7.6308017   | 111.529      | 
ASPIRASI RUN PROBOLINGGO 2025                      | -7.7605247   | 113.41622    | 
Asta Run 2023                                      | -7.75487     | 110.50036    | 
Asta Run 3.0 2025                                  | -7.740761    | 110.50466    | 
Asta Run 4.0 2026                                  | -7.683933    | 110.56518    | 
Aston Purwokerto Fun Run 2024                      | -7.417195    | 109.24489    | 
Aston Run 2025                                     | -8.174531    | 113.68654    | 
Aston Serang More Run More Fun                     | -6.1678743   | 106.17582    | 
Astound Hill                                       | 1.2534348    | 124.89887    | 
Astra Half Marathon 2025                           | -6.2894635   | 106.63922    | 
Astra Tech Run 2024                                | -6.348852    | 107.14944    | 
At Taubah Run 2026                                 | -6.174627    | 106.88317    | 
Atlas Fest Run 2026                                | -7.274038    | 112.77132    | 
Atmajaya Run 2022                                  | -6.317705    | 106.65036    | 
Audax Bandung 2024                                 | -6.8645844   | 107.462746   | 
Audax Jakarta 2025                                 | -6.2548366   | 106.801346   | 
Audax Jakarta Des 2025                             | -6.290326    | 106.795555   | 
Audax Jakarta Urban Night Ride 2024                | -6.269476    | 106.7839     | 
AUDAX Jogjakarta 2024                              | -7.799033    | 110.35455    | 
Audax malang MuCC                                  | -7.921606    | 112.65144    | 
Audax solo 2024                                    | -7.567854    | 110.82782    | 
Audax Solo SUCC 2023                               | -7.538062    | 110.76041    | 
Aveon Fun Run 2024                                 | -7.774532    | 110.43074    | 
Aviation Run 2024                                  | -6.284107    | 106.567154   | 
Avoskin Trail Run 2025                             | -7.5873766   | 110.455894   | 
Awal Bros Fun Run 2025                             | 1.1078898    | 104.090004   | 
AYOFOTO ID                                         | -7.040374    | 110.34755    | 
Ayom Fun Run Vol. 3 2025                           | -7.7871037   | 110.33741    | 
Babaturan Ganesha 2026                             | -6.9111376   | 107.61727    | 
BabatuRun 2025                                     | -6.9159822   | 107.64232    | 
Babel Run Action 2024                              | -2.0854437   | 106.1575     | 
Badak Putih Trail Run 2023                         | -6.601971    | 106.90832    | 
Badia Sun Run Festival 2025                        | -7.691482    | 108.65777    | 
Badung                                             | -8.581929    | 115.177055   | 
Badung Akbar Modification #4 2025                  | -8.606502    | 115.17824    | 
Baksil City Forest Bandung                         | -6.8853583   | 107.61119    | 
Balai Jagong loop                                  | -6.81417     | 110.8457     | 
Balangan                                           | -2.3260424   | 115.61547    | 
Balapan Mlayu 2026                                 | -7.029585    | 110.32923    | 
Balecourt Champion                                 | -6.365739    | 106.77479    | 
Bali Battlegrounds 2025                            | -8.537668    | 115.08477    | 
Bali Boozy Run                                     | -8.67299     | 115.1481     | 
Bali Coaltrans Running 2025                        | -8.779642    | 115.167656   | 
Bali Mountain Marathon 2026                        | -8.283149    | 115.36561    | 
Balimed Karangasem Fun Run 6K 2026                 | -8.439651    | 115.59266    | 
Balkondes wanurejo                                 | -7.616112    | 110.21861    | 
Baloon Brunch And Birthday Bliss                   | -7.719736    | 110.47025    | 
Bambu Runcing                                      | -7.267614    | 112.74441    | 
